Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI >=40 kg/m²(morbid obesity)
Mexico,MEX,Men,2015,27.56749763,27.15020864,27.98188628,0.245518601,0.06742607,0.008570766,0.015428057
Micronesia (Federated States of),FSM,Men,2015,28.28030449,27.11907155,29.47234402,0.406191135,0.178962085,0.004888711,0.076119019
Moldova,MDA,Men,2015,26.6924838,25.88007013,27.51860982,0.163321248,0.034651204,0.010694246,0.006973064
Mongolia,MNG,Men,2015,25.90569314,25.20606678,26.61423417,0.175076732,0.035219077,0.01664981,0.006646278
Montenegro,MNE,Men,2015,27.07576197,25.17107009,28.95259368,0.235645589,0.049323522,0.004588957,0.010127174
Morocco,MAR,Men,2015,25.45877178,23.94381336,26.99672636,0.194478922,0.042172483,0.02740008,0.008708042
Mozambique,MOZ,Men,2015,22.00762231,21.32781975,22.68761206,0.032591195,0.003718029,0.123592345,0.000675662
Myanmar,MMR,Men,2015,22.21915318,21.35843435,23.05036087,0.039185869,0.006061949,0.148498461,0.001110327
Namibia,NAM,Men,2015,22.98169747,21.76455039,24.22621679,0.073930318,0.016324389,0.110326443,0.004443278
Nauru,NRU,Men,2015,32.32922718,30.91210908,33.6707773,0.594050634,0.310474554,0.000390254,0.137398356
Nepal,NPL,Men,2015,22.52026182,21.84259248,23.21546303,0.026294919,0.001337304,0.158826975,0.000497874
Netherlands,NLD,Men,2015,26.12676929,25.35633231,26.89259399,0.209937454,0.039912133,0.003769383,0.007532008
New Zealand,NZL,Men,2015,28.23136585,27.89864841,28.56187055,0.303878388,0.097475683,0.003468049,0.030487665
Nicaragua,NIC,Men,2015,26.60201215,24.81237947,28.44704512,0.180342877,0.041903801,0.018721932,0.013910571
Niger,NER,Men,2015,21.4237689,20.15404021,22.62870236,0.024343813,0.004819424,0.134785074,0.00256569
Nigeria,NGA,Men,2015,22.62029901,21.65254803,23.58088331,0.045410146,0.010878396,0.108111787,0.00445015
Niue,NIU,Men,2015,31.513537,30.4870695,32.53394401,0.452605252,0.186490888,0.00129695,0.071778267
North Korea,PRK,Men,2015,24.24775404,21.6906382,26.84663878,0.060645912,0.006069207,0.049343201,0.001339644
Norway,NOR,Men,2015,27.38326736,26.16238143,28.63503857,0.238847516,0.065749165,0.003909142,0.015193562
Occupied Palestinian Territory,PSE,Men,2015,28.15702136,27.17247597,29.12609462,0.264635028,0.073916987,0.01065867,0.015819128
Oman,OMN,Men,2015,26.43041626,25.29578517,27.4978149,0.229785242,0.061874739,0.030772905,0.020545553
Pakistan,PAK,Men,2015,23.3372988,22.5737392,24.10736977,0.059242824,0.008204445,0.151192379,0.002961199
Palau,PLW,Men,2015,29.62266165,28.7238809,30.50755998,0.524875774,0.246116801,0.000967994,0.091759217
Panama,PAN,Men,2015,26.26350401,25.00479365,27.52665475,0.179292959,0.043177831,0.016965071,0.012917311
Papua New Guinea,PNG,Men,2015,25.30592447,24.02936838,26.55028565,0.166640611,0.035571682,0.013435455,0.010760564
Paraguay,PRY,Men,2015,26.59270083,24.01524171,29.17985891,0.172420203,0.036417334,0.012261382,0.008116312
Peru,PER,Men,2015,26.23881223,25.80914537,26.65997265,0.153300087,0.022918263,0.008837179,0.003903244
Philippines,PHL,Men,2015,22.83917654,22.0296554,23.64253133,0.051860964,0.008426716,0.106757518,0.002086111
Poland,POL,Men,2015,27.49402668,27.06055072,27.91483936,0.240756086,0.05194423,0.006120204,0.007943775
Portugal,PRT,Men,2015,26.2877195,25.3623556,27.19671704,0.205198503,0.040188079,0.004711712,0.007076132
Puerto Rico,PRI,Men,2015,28.39770066,27.02563552,29.77768389,0.28441585,0.094437354,0.013873402,0.033296873
Qatar,QAT,Men,2015,28.82671223,27.98278908,29.68338612,0.327509064,0.113179746,0.010672558,0.033200176
Romania,ROU,Men,2015,27.14276793,26.61210402,27.67212839,0.235724355,0.053114214,0.008578768,0.012578638
Russian Federation,RUS,Men,2015,25.93945519,25.23091852,26.65121923,0.184271806,0.037066715,0.00907138,0.00589231
Rwanda,RWA,Men,2015,21.23847105,20.70287217,21.76263968,0.018744879,0.001634658,0.117664843,0.000396159
Saint Kitts and Nevis,KNA,Men,2015,28.26228291,26.56426706,30.0049213,0.152974105,0.046682407,0.033161292,0.01704097
Saint Lucia,LCA,Men,2015,29.57158453,28.61660983,30.49436069,0.119540976,0.02866801,0.049319275,0.009433288
